location,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762,58.762
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Snowfall Amount,Cloud Cover Total,Shortwave Radiation,Evapotranspiration,Wind Gust,Wind Speed,Wind Direction,Geopotential Height,Temperature,Temperature
unit,°C,%,hPa,mm,cm,%,W/m²,mm,km/h,km/h,°,Gpm,°C,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,sfc,sfc,sfc,sfc,10 m,10 m,1000 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Münster Temperature [2 m elevation corrected],Münster Relative Humidity [2 m],Münster Mean Sea Level Pressure [MSL],Münster Precipitation Total,Münster Snowfall Amount,Münster Cloud Cover Total,Münster Shortwave Radiation,Münster Evapotranspiration,Münster Wind Gust,Münster Wind Speed [10 m],Münster Wind Direction [10 m],Münster Geopotential Height [1000 mb],Münster Temperature [1000 mb],Münster Temperature [850 mb]
20201114T1000,13.265955,79.0,1015.7,0.0,0.0,30.000002,145.95999,0.01872,25.199999,16.299694,210.52971,131.0,12.33,6.07
20201114T1100,14.565955,74.0,1015.7,0.0,0.0,26.400002,230.51,0.0288,26.28,17.782686,211.75949,131.0,13.47,5.94
20201114T1200,15.705955,70.0,1014.7,0.0,0.0,100.0,281.24,0.04032,27.72,19.513195,209.87599,124.0,14.59,6.34
20201114T1300,16.425955,68.0,1015.0,0.0,0.0,44.0,285.69,0.03168,29.16,21.273533,203.9625,127.0,15.3,6.12
20201114T1400,16.645956,65.0,1014.8,0.0,0.0,35.0,293.69998,0.03456,31.319998,22.782625,211.42957,125.0,15.62,6.49
20201114T1500,16.505957,65.0,1013.7,0.0,0.0,47.0,227.84,0.03024,30.239998,22.415602,209.85901,116.0,15.77,6.86
20201114T1600,16.205956,67.0,1013.7,0.0,0.0,4.2000003,128.16,0.02016,29.88,18.837322,206.07535,115.0,15.87,7.43
20201114T1700,15.085955,71.0,1012.9,0.0,0.0,33.0,19.58,0.0072,30.239998,16.645864,201.5713,109.0,15.11,7.68
20201114T1800,14.055955,76.0,1012.7,0.0,0.0,59.0,0.0,0.00432,32.039997,17.727943,192.90741,107.0,14.13,7.89
20201114T1900,13.335955,79.0,1012.8,0.0,0.0,63.0,0.0,0.00288,30.239998,19.70815,189.46233,107.0,13.4,7.9
20201114T2000,12.775955,80.0,1012.8,0.0,0.0,49.0,0.0,0.00288,30.960001,20.008356,188.2759,107.0,12.86,7.83
20201114T2100,12.665955,80.0,1012.4,0.0,0.0,100.0,0.0,0.00288,32.399998,21.38897,186.76617,103.0,12.74,8.04
20201114T2200,12.695954,79.0,1011.7,0.0,0.0,100.0,0.0,0.00288,36.0,21.749481,192.42595,97.0,12.73,7.92
20201114T2300,12.565955,78.0,1011.5,0.0,0.0,100.0,0.0,0.00288,32.760002,22.89611,196.44038,96.0,12.6,7.8
20201115T0000,12.145955,81.0,1011.6,0.0,0.0,40.0,0.0,0.00288,40.68,23.224882,198.99666,96.0,12.2,7.6
20201115T0100,11.795955,83.0,1010.9,0.0,0.0,35.0,0.0,0.00144,38.519997,22.61419,193.81503,91.0,11.87,7.19
20201115T0200,11.535954,84.0,1010.9,0.0,0.0,39.0,0.0,0.00144,35.28,22.380884,191.1292,91.0,11.63,7.2
20201115T0300,11.675955,83.0,1010.5,0.0,0.0,40.0,0.0,0.00144,33.48,21.67487,191.49657,88.0,11.82,8.38
20201115T0400,11.535954,84.0,1009.3,0.0,0.0,28.500002,0.0,0.00144,31.319998,22.734219,190.95407,77.0,11.67,8.77
20201115T0500,11.265955,86.0,1009.0,0.0,0.0,40.0,0.0,0.00144,36.36,23.233253,192.52881,75.0,11.35,8.93
20201115T0600,11.015955,87.0,1009.5,0.0,0.0,30.000002,0.0,0.00144,35.64,23.400002,194.25003,79.0,11.11,8.47
20201115T0700,10.675955,88.0,1009.4,0.0,0.0,34.0,0.0,0.00144,38.88,23.400002,194.25003,78.0,10.74,8.17
20201115T0800,10.605955,88.0,1009.0,0.0,0.0,77.0,0.0,0.00144,35.64,24.098497,193.82864,75.0,10.67,7.65
20201115T0900,11.455955,82.0,1009.0,0.0,0.0,44.0,66.75,0.00432,35.28,25.567604,189.72758,75.0,11.36,7.91
20201115T1000,12.905954,76.0,1007.9,0.0,0.0,10.0,179.78,0.01152,35.64,26.758923,185.4038,66.0,12.77,7.46
20201115T1100,14.585955,69.0,1006.9,0.0,0.0,3.6000001,261.66,0.02016,38.519997,27.834309,185.19443,58.0,14.46,7.52
20201115T1200,16.115955,62.0,1006.5,0.0,0.0,8.0,311.5,0.0288,42.48,29.070974,187.82907,55.0,15.38,8.08
20201115T1300,16.915956,59.0,1005.6,0.0,0.0,100.0,283.91,0.03312,42.839996,33.092598,188.1301,47.0,16.26,8.45
20201115T1400,17.475956,57.0,1004.5,0.0,0.0,48.0,274.12,0.03456,47.519997,34.471764,187.19923,39.0,16.94,8.64
20201115T1500,17.585957,56.0,1003.2,0.0,0.0,94.0,223.39,0.03312,52.199997,35.105072,185.88599,28.0,17.33,8.92
20201115T1600,16.985956,59.0,1003.2,0.0,0.0,40.0,122.82,0.02448,51.12,34.05379,193.44861,28.0,17.08,8.09
20201115T1700,16.445955,62.0,1001.8,0.0,0.0,100.0,16.91,0.01296,47.88,29.655787,190.49147,16.0,16.74,7.22
20201115T1800,15.535954,70.0,1001.4,0.3,0.0,100.0,0.0,0.01728,59.76,34.428497,186.60483,13.0,15.81,6.55
20201115T1900,14.725955,77.0,1000.6,1.0,0.0,100.0,0.0,0.02592,56.519997,37.45557,181.6523,6.0,15.09,6.38
20201115T2000,15.225955,74.0,1000.2,0.1,0.0,100.0,0.0,0.03024,57.239998,40.41792,199.24188,3.0,15.63,5.32
20201115T2100,13.125955,78.0,1002.2,2.3,0.0,100.0,0.0,0.0288,46.079998,32.79361,252.75854,19.0,13.14,3.8
