location,Münster,Münster,Münster,Münster,Münster
lat,51.97739,51.97739,51.97739,51.97739,51.97739
lon,7.62251,7.62251,7.62251,7.62251,7.62251
asl,58.762,58.762,58.762,58.762,58.762
variable,Temperature,Relative Humidity,Geopotential Height,Temperature,Temperature
unit,°C,%,Gpm,°C,°C
level,2 m elevation corrected,2 m,1000 mb,1000 mb,850 mb
resolution,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None
timestamp,Münster Temperature [2 m elevation corrected],Münster Relative Humidity [2 m],Münster Geopotential Height [1000 mb],Münster Temperature [1000 mb],Münster Temperature [850 mb]
20201112T0600,7.7459555,88.0,134.0,7.59,3.93
20201112T0700,8.275955,86.0,126.0,8.26,4.26
20201112T0800,8.4959545,86.0,122.0,8.54,4.58
20201112T0900,9.665955,82.0,122.0,9.26,4.06
20201112T1000,11.445954,74.0,120.0,10.73,3.68
20201112T1100,11.325954,76.0,131.0,10.54,2.79
20201112T1200,11.475955,79.0,133.0,10.41,0.99
20201112T1300,12.195954,69.0,134.0,10.9,0.98
20201112T1400,12.885955,63.0,136.0,11.65,0.78
20201112T1500,12.555955,66.0,141.0,11.5,0.39
20201112T1600,12.195954,69.0,147.0,11.28,0.61
20201112T1700,11.845955,71.0,141.0,11.14,0.67
20201112T1800,11.625955,71.0,152.0,10.83,0.36
20201112T1900,11.145955,74.0,152.0,10.32,0.03
20201112T2000,10.935955,76.0,153.0,10.13,-0.31
20201112T2100,10.825954,76.0,162.0,9.95,-0.19
20201112T2200,10.565955,76.0,158.0,9.75,-0.95
20201112T2300,10.565955,75.0,162.0,9.7,0.01
20201113T0000,9.575954,78.0,165.0,9.31,0.27
20201113T0100,8.415955,86.0,162.0,8.83,0.51
20201113T0200,7.735955,89.0,160.0,8.81,0.46
20201113T0300,7.1159554,90.0,156.0,8.4,0.57
20201113T0400,6.5559554,88.0,155.0,7.77,0.73
20201113T0500,5.875955,86.0,152.0,7.28,0.7
20201113T0600,5.3259554,85.0,151.0,6.83,0.67
20201113T0700,4.8259554,85.0,151.0,6.31,0.72
20201113T0800,4.5359554,85.0,146.0,5.69,0.97
20201113T0900,5.855955,80.0,145.0,5.84,1.81
20201113T1000,8.155954,73.0,147.0,7.31,1.78
20201113T1100,10.795955,64.0,139.0,9.73,2.32
20201113T1200,12.125955,64.0,136.0,11.1,2.82
20201113T1300,13.175955,68.0,129.0,12.28,3.14
20201113T1400,14.535954,64.0,124.0,13.61,4.1
20201113T1500,15.075954,64.0,118.0,14.43,5.04
20201113T1600,15.025955,67.0,121.0,14.7,5.94
20201113T1700,14.625955,72.0,119.0,14.37,5.19
20201113T1800,13.755955,81.0,122.0,13.38,5.04
20201113T1900,13.515955,82.0,124.0,13.13,5.84
20201113T2000,13.045955,83.0,127.0,12.59,4.87
20201113T2100,12.665955,84.0,130.0,12.18,4.4
20201113T2200,12.085955,88.0,133.0,11.69,4.79
20201113T2300,12.005955,89.0,133.0,11.55,4.71
